"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /api/create",20,290,310,310,310,330,340,340,340,340
"GET /api/planets/3/",44,1100,1100,1100,1200,1200,1300,2400,2400,2400
"GET /api/user/",20,15,25,48,49,91,110,110,110,110
"PUT /api/user/201",3,300,300,310,310,310,310,310,310,310
"PUT /api/user/272",1,330,330,330,330,330,330,330,330,330
"PUT /api/user/28",2,340,340,340,340,340,340,340,340,340
"PUT /api/user/298",1,320,320,320,320,320,320,320,320,320
"PUT /api/user/54",1,310,310,310,310,310,310,310,310,310
"PUT /api/user/75",2,310,310,310,310,310,310,310,310,310
"PUT /api/user/824",1,300,300,300,300,300,300,300,300,300
"PUT /api/user/847",2,340,340,340,340,340,340,340,340,340
"PUT /api/user/903",1,300,300,300,300,300,300,300,300,300
"PUT /api/user/921",2,320,320,320,320,320,320,320,320,320
"PUT /api/user/943",3,310,310,310,310,310,310,310,310,310
"PUT /api/user/96",1,300,300,300,300,300,300,300,300,300
"GET /todos/",23,59,61,64,65,66,66,69,69,69
"POST /todos/",24,810,870,1000,1100,1300,1900,2600,2600,2600
"GET /v2/everything?q=bitcoin&apiKey=03bebe1127dd427f881b36aa9be1f93c",21,230,230,260,320,590,640,860,860,860
"GET /v2/sources?apiKey=03bebe1127dd427f881b36aa9be1f93c",20,220,230,420,420,430,630,630,630,630
"GET /v2/top-headlines?country=us&apiKey=03bebe1127dd427f881b36aa9be1f93c",42,220,230,230,230,1100,1100,1700,1700,1700
"Total",234,260,350,590,800,1100,1200,1500,1900,2600
